name,id,revenue
Albione Cinematografica,1.0,0.0
Alborada P.C.,1.0,302553.0
Alby Pictures,1.0,0.0
Alcatraz Film,2.0,12247.0
Alce Producciones LTDA.,1.0,0.0
Alced Productions,1.0,0.0
Alchemedia Films,3.0,0.0
Alchemy Filmworks,1.0,1.0
Alchemy Television,1.0,0.0
Alcina,1.0,0.0
Alcina Pictures,2.0,0.0
Alcinter,1.0,0.0
Alcon Entertainment,27.0,1796675734.0
Alcor Films,16.0,704703110.0
Alcove Entertainment,4.0,200406.0
Aldamisa Entertainment,5.0,54430613.0
Aldan Company,1.0,0.0
Aldrich Company,1.0,0.0
Aldrich Group,1.0,21009180.0
Alea Docs & Films,1.0,0.0
Alebrije Cine y Video,4.0,0.0
Alegria Productions,1.0,0.0
Aleor Films,1.0,1007583.0
Aleph Media,3.0,0.0
Aleph Motion Pictures,1.0,0.0
Alert Film,1.0,0.0
Alessandro Iacovoni Produzione Cinematografica,1.0,0.0
Alex Cinematografica,2.0,0.0
Alex Jones Productions,1.0,0.0
Alexander Groupe,2.0,0.0
Alexander Korda Films,3.0,0.0
Alexander Salkind,1.0,0.0
Alexander Sextus,1.0,0.0
Alexander-Stern Productions,2.0,0.0
Alexandersson & De Geer Bildproduktion,1.0,0.0
Alexandra,1.0,0.0
Alexandra Film,2.0,0.0
Alexandra Films,1.0,0.0
Alexandre Films,8.0,0.0
Alexandros Film,1.0,0.0
Alexis Films,1.0,0.0
Alfa Cinematografica,1.0,0.0
Alfama Films,8.0,6063556.0
Alfran Productions,2.0,245066411.0
Alfred Image Works,1.0,0.0
Alfred J. Hitchcock Productions,3.0,46403529.0
Alfresco Enterprises,1.0,0.0
Algemene Vereniging Radio Omroep (AVRO),3.0,0.0
