id,original_language,spoken_languages
3170,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
242,en,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'it', 'name': 'Italiano'}, {'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'la', 'name': 'Latin'}]"
29228,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
11164,en,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'is', 'name': 'Íslenska'}]"
12129,en,"[{'iso_639_1': 'es', 'name': 'Español'}, {'iso_639_1': 'en', 'name': 'English'}]"
14140,en,"[{'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'en', 'name': 'English'}]"
11158,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
9354,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
9325,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
10340,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
10144,en,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}]"
10414,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
10437,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
12230,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
10693,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
11135,en,"[{'iso_639_1': 'da', 'name': 'Dansk'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ko', 'name': '한국어/조선말'}, {'iso_639_1': 'no', 'name': 'Norsk'}, {'iso_639_1': 'sv', 'name': 'svenska'}]"
11319,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
14822,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
15969,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
15943,en,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]"
19762,en,"[{'iso_639_1': 'en', 'name': 'English'}]"
2619,en,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'it', 'name': 'Italiano'}]"
