id,name_genres,id_genres
10285,'Fantasy' 'Horror' 'Thriller',"'14,27,53'"
102851,'',''
102855,'Documentary','99'
102858,'Drama','18'
102860,'Drama' 'Foreign',"'18,10769'"
102862,'Drama' 'Comedy' 'Thriller' 'Documentary',"'18,35,53,99'"
102867,'Romance' 'Documentary' 'Comedy',"'10749,99,35'"
102870,'Crime' 'Drama' 'Comedy',"'80,18,35'"
102871,'Drama','18'
102873,'Documentary','99'
102878,'Drama','18'
10288,'Romance' 'Comedy' 'Drama' 'Horror',"'10749,35,18,27'"
102899,'Science Fiction' 'Action' 'Adventure',"'878,28,12'"
102901,'',''
102909,'Family' 'Foreign',"'10751,10769'"
102913,'Drama','18'
10292,'Horror' 'Thriller',"'27,53'"
10293,'Romance' 'Comedy' 'Drama',"'10749,35,18'"
102931,'TV Movie' 'Drama' 'Crime',"'10770,18,80'"
102933,'Drama','18'
102935,'Crime' 'Documentary',"'80,99'"
102938,'Action' 'Drama',"'28,18'"
10294,'Horror' 'Thriller',"'27,53'"
102947,'',''
102949,'Action' 'Comedy' 'Western',"'28,35,37'"
102959,'Western' 'Comedy',"'37,35'"
10296,'Drama','18'
102961,'Action' 'Drama',"'28,18'"
10297,'Comedy' 'Romance',"'35,10749'"
10299,'Crime' 'Drama' 'Horror' 'Mystery' 'Thriller',"'80,18,27,9648,53'"
103,'Crime' 'Drama',"'80,18'"
103012,'Drama','18'
103014,'Family','10751'
10303,'Action' 'Adventure' 'Comedy' 'Romance',"'28,12,35,10749'"
10304,'Adventure' 'Horror' 'Action' 'Science Fiction',"'12,27,28,878'"
103048,'Foreign','10769'
10305,'Drama' 'Crime' 'Mystery',"'18,80,9648'"
10306,'Horror' 'Thriller',"'27,53'"
103066,'Comedy' 'Romance' 'Foreign',"'35,10749,10769'"
103067,'Thriller','53'
10307,'Horror','27'
103073,'Drama' 'Crime' 'Foreign',"'18,80,10769'"
10308,'Drama','18'
103081,'',''
10309,'Drama','18'
10310,'Drama','18'
10311,'Thriller' 'Drama',"'53,18'"
103119,'War' 'Western',"'10752,37'"
10312,'Comedy' 'Drama',"'35,18'"
103122,'Comedy','35'
10313,'Comedy' 'War',"'35,10752'"
10314,'Comedy' 'Romance',"'35,10749'"
10315,'Adventure' 'Animation' 'Comedy' 'Family',"'12,16,35,10751'"
10316,'Drama','18'
103161,'Documentary','99'
103162,'Comedy' 'Documentary',"'35,99'"
103164,'Western','37'
103168,'Action' 'Western',"'28,37'"
10317,'Comedy' 'Drama',"'35,18'"
103173,'Fantasy' 'Animation',"'14,16'"
103181,'',''
10319,'Drama','18'
103194,'Animation' 'Documentary',"'16,99'"
103195,'Documentary','99'
103198,'Drama','18'
103199,'Drama' 'Romance',"'18,10749'"
10320,'Drama' 'Horror' 'Thriller',"'18,27,53'"
103201,'Action' 'Thriller',"'28,53'"
103203,'War' 'Drama',"'10752,18'"
103205,'Drama','18'
103210,'Action' 'Thriller' 'Crime',"'28,53,80'"
103212,'Thriller' 'Foreign',"'53,10769'"
103215,'Documentary' 'Foreign',"'99,10769'"
103216,'',''
103218,'',''
10322,'Comedy' 'Drama',"'35,18'"
10323,'Adventure' 'Fantasy' 'Family',"'12,14,10751'"
103236,'Action','28'
10324,'Comedy' 'Romance',"'35,10749'"
103243,'Comedy' 'Romance',"'35,10749'"
10326,'Adventure' 'Fantasy' 'Drama' 'Science Fiction' 'Romance',"'12,14,18,878,10749'"
103260,'TV Movie' 'Comedy',"'10770,35'"
103269,'Animation' 'Action',"'16,28'"
10327,'Comedy','35'
10328,'Comedy' 'Drama' 'Science Fiction',"'35,18,878'"
10329,'Action' 'Adventure' 'Drama' 'Mystery' 'Science Fiction' 'Thriller',"'28,12,18,9648,878,53'"
103299,'Drama' 'Action' 'Thriller' 'Crime' 'Mystery',"'18,28,53,80,9648'"
10330,'Comedy','35'
103301,'Comedy','35'
103307,'Comedy','35'
10331,'Horror','27'
103328,'Drama' 'Fantasy',"'18,14'"
10333,'Drama' 'Romance',"'18,10749'"
103332,'Comedy' 'Romance' 'Fantasy' 'Drama',"'35,10749,14,18'"
103344,'Comedy','35'
