id_pelicula,department,id_y,job,name
47869,Directing,16214,Director,Mario Van Peebles
10889,Directing,1614,Director,Ang Lee
65262,Directing,42617,Director,Antonia Bird
22130,Directing,4135,Director,Robert Redford
11333,Directing,18127,Script Supervisor,Sheila Paige
24248,Directing,994323,Director,Kayo Hatta
28124,Directing,1614184,Script Supervisor,Irish Barber
36586,Directing,1728298,Script Supervisor,Summer Banner
6020,Directing,1728299,Script Supervisor,Angela Robinson
39541,Directing,1728302,Script Supervisor,Janet Holman
11452,Directing,23724,Director,Patrice Chéreau
44373,Directing,7623,Director,Sam Raimi
31671,Directing,12804,Director,Peter Yates
2565,Directing,9789,Director,Robert Altman
18323,Directing,1126,Director,Krzysztof Kieślowski
19085,Directing,1126,Director,Krzysztof Kieślowski
26725,Directing,1126,Director,Krzysztof Kieślowski
69850,Directing,77305,Director,He Ping
39154,Directing,45642,Director,Fred Gerber
33796,Directing,133793,Director,George Mihalka
32221,Directing,1524,Director,Harold Ramis
28907,Directing,107274,Director,Richard Rich
9583,Directing,1741439,Layout,Mike Hodgson
14774,Directing,1741457,First Assistant Director,Bret Taylor Babos
4993,Directing,1741458,Second Assistant Director,Gregory Daven
10169,Directing,102445,Director,John Sayles
30114,Directing,26648,Director,Luis Llosa
14902,Directing,6046,Director,Roland Emmerich
23728,Directing,1434627,Script Supervisor,Kay Sweeney
9573,Directing,58072,Director,John Pasquin
2750,Directing,4027,Director,Frank Darabont
60608,Directing,1123794,Assistant Director,John R. Woodward
146231,Directing,106117,Assistant Director,Thomas Schellenberg
97447,Directing,77295,Assistant Director,Jesse V. Johnson
18913,Directing,74823,Script Supervisor,Sioux Richards
19049,Directing,2034,Director,Danny Boyle
11013,Directing,101444,Director,Scott McGehee
129,Directing,101446,Director,David Siegel
47500,Directing,124660,Script Supervisor,Hilary Momberger
39128,Directing,72646,Director,Tomás Gutiérrez Alea
11868,Directing,72647,Director,Juan Carlos Tabío
3092,Directing,57028,Director,George Huang
12590,Directing,91499,Director,Kevin Dowling
37964,Directing,72629,Director,Geoff Burton
1809,Directing,64030,Director,Kelly Makin
40815,Directing,607,Director,Zhang Yimou
8051,Directing,56891,Director,Rachel Talalay
49872,Directing,15521,Director,Ernest R. Dickerson
44932,Directing,2380,Director,David Carson
66592,Directing,141825,Director,Rusty Cundieff
17205,Directing,58080,Director,Brian Gilbert
15900,Directing,11770,Director,John Carpenter
11646,Directing,13426,Director,Peter Segal
22435,Directing,15389,Director,Louis Malle
2264,Directing,1884,Director,Steven Soderbergh
47886,Directing,1427384,Script Supervisor,Jane Goldsmith
9012,Directing,76705,Director,Preston A. Whitmore II
13440,Directing,5306,Director,Lasse Hallström
41645,Directing,57090,Director,Brett Leonard
31918,Directing,12962,Director,Jon Turteltaub
28988,Directing,18250,Director,Jon Avnet
27204,Directing,1230367,Director,Mina Shum
12716,Directing,1396510,Script Supervisor,Patricia Barry
12717,Directing,3045,Director,P.J. Hogan
20472,Directing,83313,Director,Melanie Mayron
14664,Directing,4499,Director,Tom Shadyac
31921,Directing,27889,Director,Stephan Elliott
17187,Directing,1978,Director,Iain Softley
16028,Directing,3556,Director,Roman Polanski
31695,Directing,1243,Director,Woody Allen
73116,Directing,13015,Director,Phillip Noyce
26946,Directing,62543,First Assistant Director,Alan B. Curtiss
16938,Directing,1453319,Script Supervisor,Faye Brenner
36273,Directing,5572,Director,Joel Schumacher
15278,Directing,16853,Director,Jessie Nelson
26252,Directing,5281,Director,Spike Lee
20663,Directing,21085,Director,Alex Proyas
21189,Directing,1521754,Script Supervisor,Cornelia 'Nini' Rogan
10894,Directing,4037,Director,Ron Shelton
30875,Directing,13581,Director,Brian Levant
29450,Directing,24,Director,Robert Zemeckis
4911,Directing,13930,First Assistant Director,Bruce Moriarty
11635,Directing,1434225,Script Supervisor,Susan Malerstein
27236,Directing,10723,Director,Mike Newell
2671,Directing,6482,Director,John Singleton
