id_original,name
10509,Jan Verheyen
105093,Eloy de la Iglesia
105098,Alberto De Martino
1051,William Friedkin
10510,Les Mayfield
10511,Jim Sheridan
105114,Roberto Bianchi Montero
105120,Giuseppe Vari
105121,"Turner Ross,Bill Ross IV"
10513,Edward D. Wood Jr.
105130,SABU
105133,SABU
105136,SABU
10514,Robert Wise
105145,Gianfranco Piccioli
105149,Mario Imperoli
10515,Hayao Miyazaki
105153,William K.L. Dickson 
105156,Marcello Andrei
105157,William K.L. Dickson 
105158,William K.L. Dickson 
10516,Jean Girault
105168,George Albert Smith
10518,John Schlesinger
105184,Eckhart Schmidt
1052,Michelangelo Antonioni
10520,Jamie Babbit
10521,Gary Winick
105210,Hideki Takeuchi
10523,Oliver Stone
105231,Kobun Shizuno
105232,Mario Moroni
10524,Sophie Marceau
105246,Andrew Sugerman
10525,Billy Crystal
105254,Ingmar Bergman
10527,"Eric Darnell,Tom McGrath"
10528,Guy Ritchie
105287,Emir Kusturica
10529,Howard McCain
105299,David Weaver
10530,"Mike Gabriel,Eric Goldberg"
105304,"Claude Nuridsany,Marie Pérennou"
10531,Roman Polanski
105325,"Kevin Deters,Stevie Wermers"
10533,Roland Joffé
10534,Ridley Scott
105347,Nelson Pereira dos Santos
105348,Jan Němec
10535,Rick Friedberg
105352,Harold M. Shaw
10536,Peter Collinson
10537,Oliver Stone
10538,Kevin Hooks
105384,Gianni Manera
10539,Henry Selick
105398,Maurizio Pradeaux
10540,Peter Hyams
105403,Fernando Di Leo
105404,Sidney Lumet
105406,George Sidney
10541,Emmanuel Mouret
105419,Pilar Miró
10542,Martin Walz
10543,James Foley
10544,Gregor Jordan
105448,Manoel de Oliveira
10545,"Gary Trousdale,Kirk Wise"
105454,Marco Martins
10546,Tim Pope
105465,Norman Jewison
10547,David Twohy
105470,Keisuke Kinoshita
10548,Leon Gast
10549,Kenneth Branagh
10550,Wych Kaosayananda
105503,Daniel Vance
105506,B Unnikrishnan
105509,Luigi Zampa
10551,Sidney Lumet
